大家好,我是尤尚捷
讓我們隆重歡迎這次的乾爹 Surfshark VPN
你有在看劇的時候跳出
你所在的區域不支援本服務過嗎?
這應該是大家最主攔的一行字了吧?
也是我在德國使用很多服務的家常便飯
像 Netflix 甚至很多電影跟劇的字幕
居然都跟你所在的地區有關
像我前陣子想從上面看鬼滅之刃
結果發現德國版居然只有德文字幕可以選
其實我真心不懂這個設計耶
字幕檔不是本來都有嗎?為什麼?
就是不讓我選了
反正總之最後我就只好放棄
幸好 Surfshark VPN 即時出現
手指輕輕一點
我們的網路位置馬上可以從台灣、德國、美國
或是其他世界各國之間跳躍
追劇無國界
這應該某種程度上應該是解鎖地球了吧?
而且就像旅行箱我們會上鎖一樣
我們的網路足跡也需要受到保護
透過 Surfshark VPN
可以讓我們的資料更加保密
隱私也更受到保護
現在 Surfshark 推出30 天內 100% 的退款保證
另外只要在註冊的時候
輸入解鎖地球的專屬優惠碼
Unlock
UNLOCK
就可以享有83% 的折價
- 可是他們的機場是沒有辦法讓外人進去的
- 外人
- 對
- 你說外人是說沒有要搭飛機的人
- 不能隨便進來
- 對
- 所以街機就在外面
- 然後就有一種像那個你知道
- 明星要出來
- 要開記者會
- 然後說欸大家好
- 謝謝謝謝
- 然後大家會在外面照相
- 真的它有一個圍欄
- 然後我只要一出了機場
- 大人沒有冷氣的
- 萬頭磚洞
- 就是旁邊全部都是接人的司機的
- 庸人搬行李的那些全部都是
- 哇靠
- 所以我一進德里這個外場的時候就嚇到
- 馬上變成明星規格這樣
- 有一種感
- 對 然後還要在慢慢人海當中
- 就找尋我的那個前同事這樣
- 然後我就很很嚇到
- 因為就是那個地方就是
- 你機場裡面是正常的
- 就是任何國際機場都差不多是那樣
- 然後大家比較
- 你知道文職彬彬的那種感覺
- 可是真的踏出
- 一離開那個機場的避印之後就
- 直接進入德里
- 無縫接軌這樣
- 對 然後就是沒有冷氣
- 然後濕度也比較高的德里生活
- 哇

- 呀 所以那對我的衝
- 就是第一次進去的時候衝擊非常大
- 然後再來就是外國人進去
- 因為我在那邊要工作三年嘛
- 所以每一年暑假之後
- 都需要去申請居留證
- 然後我們要去當地的護證事務所
- 然後去申請
- 他們叫做什麼?
- FRRO
- 我不知道



-  Foreign Resident
- 你說這個居留證的名字
- 居留證的名字

- 然後每一次我們那個教職員
- 因為我們學校有很多外國的老師
- 甚至國際學生也是
- 所以我們就
- 就是看到彼此的時候
- 然後就說
- 是要辦的是不是
- 然後就大家知道
- 我第一次去的時候我真的嚇呆
- 因為大概就是
- 這樣
- 去印度的兩個禮拜內
- 我就一定要去辦了嘛
- 就是下背季完之後
- 一週裡面也要去辦
- 但是可能他們可以延長一點點時間
- 學校的人事部要帶我們去
- 那個建築看起來就是很不真實
- 對 什麼意思?
- 明明就是政府官員的一個大樓
- 它是行政大樓
- 有點像我們戶政事務所這樣
- 應該是一棟大樓
- 然後冷氣然後
- 可是它是沒有窗
- 沒有玻璃
- 沒有玻璃

- 就是說窗戶直接漏空這樣
- 啊對
- 然後外面就是土地嘛這樣
- 然後大家停車停在廣場上面這樣
- 妳說它像一個茅草屋這樣
- 這樣這個等級這樣
- 喔不是它是
- 我跟你講它是水泥的
- 可是沒有玻璃窗
- 看起來就是
- 是沒有蓋好還是怎麼樣
- 廢氣公寮這樣
- 然後
- 然後呢
- 就是電梯是空的

- 所以就是如果你下去看
- 欸可以看到地下室人


- 對對對
- 然後就那時候還沒有
- 沒有電梯可是有那個井這樣
- 哈哈
- 其實妳可以付費解鎖
- 未來擴充DLC這樣
- 哈哈

- 這樣東西丟下去可能撿不回來這樣
- 然後我真的就是驚慌在驚慌想說
- 蛤?所以要辦這個外國人居留證
- 是要來到這個地方
- 真的可以辦得好嗎?
- 然後大家就說
- 不好意思老師往上走這樣
- 然後我們就一群老師就往上走
- 然後到了辦公室喔
- 真的很像印度舊的電影裡面的那種感覺
- 就是你一進去辦公室
- 好辦公室門進去OK
- 可是你旁邊兩邊就是檔案櫃
- 然後塞滿了各種紙本
- 然後紙本是黃色的
- 好有畫面
- 也不知道是累積多久
- 然後旁邊就是有那種大的電腦
- 你知道就是以前舊的電腦是大螢幕
- 不是那種螢幕
- 喔你說那個很厚的那種電腦
- 對對對對
- 幹!2013、2014還看得到這種電腦
- 這裡可以當博物館了
- 就還蠻嗨的這樣
- 然後外面就有一些打掃的阿姨
- 他們通常都是穿沙粒的
- 然後可是裡面的官員大部分都是男人嘛
- 所以他們就會穿有領子的那種襯衫
- 襯衫
- 然後呢就是記起皮帶
- 然後要塞進去
- 就看起來
- 塞有其次
- 還有這麼一點正式
- 但是又有一點
- 可以有點怪怪的
- 然後進去
- 然後電腦常常是沒有開的
- 不知道為什麼
- 不知道是裝飾還是怎麼用
- 啊?什麼意思
- 你說他們在電腦前面工作
- 然後你走進去看

- 對,他就在寫他的東西
- 他沒有在打掃的
- 沒有在裝盲是不是
- 用半天電腦是
- 根本沒開機
- 就沒有開
- 所以我不是很確定
- 他們電子化的狀態是什麼
- 可是我跟你講
- 聽眾朋友還是要注意一下
- 因為我這個是在偏鄉
- 在德里本區
- 德里本區或者是大的
- 對,大的城市裡面
- 應該不是這樣的狀態
- 但我也沒去過

- 然後去了之後
- 他們就是引導我們在那邊坐
- 然後呢
- 外面已經坐好一排的國際學生
- 在那個
- 有點像大家等那個
- 看醫生診間外面在做一排
- 等教號
- 然後沒有冷氣喔
- 然後八月其實還算是暑假還蠻熱的
- 然後有時候會下雨
- 所以你就看到每個人手拿一瓶水
- 然後就是一邊擦汗
- 然後一邊拿就是那個皺皺的文件這樣子
- 然後我們就坐下來
- 坐下來我覺得FRO的官員真的是很有趣
- 我就記得有一個小鬍子官員
- 他真的是看起來很尖誌
- 哈哈哈哈
- 你說他本來就已經留那個尖誌的小鬍子了
- 然後又戴著眼鏡
- 這看起來不是像我們那個台劇裡面的小人嗎
- 但是他真的很認真
- 真的就是你剛剛講的煞有其事
- 然後就坐下來
- 然後就我們已經等了大概20分鐘30分鐘
- 然後我就跟旁邊注意說
- 那我們等一下要等多久
- 他說嗯就再等一下
- 然後我們就要問人事部
- 請問要等多久
- 嗯有有有有
- 我們已經跟他說了
- 對對他會來他會來
- 真的是認真地等了大概40- 50分鐘之後他出現了
- 其實40- 50分鐘還好啦
- 什麼都
- 欸
- 每年要這樣等很煩
- 對啦

- 我也會你說四五個小時之類的
- 對還是沒有
- 而且因為啊
- 其實那個Songer
- 因為Songer這個鎮本身就只有我們這些外國人
- 喔對
- 它一年就辦這一次
- 還要等多久

- 對對對對
- 然後都一定是從我們學校來的這樣
- 然後他就坐下來
- 然後就看啊
- 然後就看著護照啊
- 然後說台灣
- 喔台灣
- 中國
- 然後我們說
- 不是不是不是不是
- 台灣
- 然後ROCA
-  Republic of China
- 中國
- 啊
- 江海謝
- 然後
- 然後說
- 哇這裡也懂
- 江海謝
- 就是帶領著國軍
- 然後去到台灣這樣
- 然後他就說

- 啊



- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊

- 啊

- 啊

- 啊


- 啊
- 啊


- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊


- 啊


- 啊



- 啊

- 啊


- 啊

- 啊


- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊



- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊





- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊


- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊

- 啊


- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊











- 不過這個

- 不過這個

- 不過這個
- 啊
- 不過這個
- 啊

- 啊
- 不過這個
- 啊
- 不過這個

- 不過這個

- 不過這個
- 啊
- 不過這個
- 啊
- 不過這個
- 不過這個
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊











- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊

- 啊


- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊

- 啊


- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊


- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊
- 啊
- 啊

- 啊

- 啊


- 啊
- 啊


- 啊

- 啊


- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊


- 啊
- 啊

- 啊
!
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊

- 啊


- 啊
- 啊

- 啊

- 啊

- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊
- 啊

- 啊
- 啊
- 啊
- 啊
- 啊

- 啊




- 我就好
- 那我就保證一定可以
- 一定可以约到我
- 大家聽到了
- 大家坐證
- 啊
- 啊
- 所以那個真的那一天
- 其實我回去還蠻低落的
- 因為我照了一張照片
- 然後就看著我
- 我知道
- 那一天對於這些孩子裡面
- 會是一個很有意義的一個活動
- 或一個課程
- 可是真的有多少孩子
- 可以因為學了英文然後翻身
- 而且對他們來說他們也只有那一天
- 因為那天過後一些會不正常

- 或者是下一次來的時候有人已經搬家了
- 也不一定是可以繼續上下去

- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對- 對-
大家都會講一下- 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有一次- 阿 他們其實曾經有
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
