哈囉,大家好,我是有上傑
那從去年八月開始啊,不知不覺到現在
解鎖地球已經陪伴大家半年的時間了
那不知道在這過程中,大家還喜歡我們的節目嗎?
那跟大家說一個消息
在FIRSTORY的技術支援下
我們解鎖地球終於有自己的贊助連結了
現在大家只要到每一個單集下面的show notes
- 我完全不知道
- 欸等一下可是你替代意在那邊的聯絡網
- 應該有一些什麼當地人員啊什麼的
- 他們也沒跟你講
- 沒有完全沒有
- 完全沒有
- 所以那個情境是他提給你說欸你斷交了欸這樣
- 對那情境就是我Facebook打開然後Messenger點開一個新聞
- 然後說怎麼全部斷交
- 我想說真的假的
- 然後我完全不知道
- 然後我問那個就是我那個舞主就很有錢那個台商
- 他那個時候好像也不太知道
- 然後後來是隔了一兩天
- 我們才打電話跟我們的就是外交部的管我們的人
- 問他他過了一下下才回覆
- 就是說這就是真的這樣
- 是斷交太忙了是不是
- 沒空管替代意了這樣子
- 我也不知道
- 但他後來就實地來
- 然後就真的跟我們講一下說現在狀況到底是怎麼樣
- 那要怎麼辦
- 因為其實當下我已經被搞得很想回台灣
- 然後我本來就是打算一個第一學期結束之後
- 我就要散盡我的家產然後飛回台灣一下下
- 對我原本就預計這樣子了
- 然後所以我那個時候一得知斷交
- 我就把心理全部收完了
- 巴不得趕快走這樣
- 對我想說快點快不快終於如願以償這樣
- 欸所以他一斷交你們這些老師是直接停止的
- 沒有這麼快
- 從得知斷交到我們確定離開大概是一個月的時間
- 然後在這一個月內我們一開始初期的消息是我們不能驚動那個學生
- 所以我們還是持續上課
- 然後學生也不覺得什麼異狀這樣
- 對但是你知道會有些華僑學生
- 所以他早就知道
- 消息比較靈通
- 他就在上課問我說老師你怎麼看斷交
- 那你有在課場上高談擴論嗎
- 我沒有我就說我們下課再聊
- 我們先上課
- 就只能先這樣把它打發掉這樣
- 喔這樣子
- 但差不多
- 然後斷交的時候我們就是維持一般生活狀態
- 可是一直在收東西
- 然後最大的差別應該是
- 就是確定走了之後我們去完降棋
- 我有參加降棋典禮
- 降棋 你說他們
- 大使館的降棋典禮
- 大使館降棋
- 對那個我有上新聞可以是
- 那個有在照片上
- 我有在照片上
- 對沒錯
- 然後降棋典禮
- 就我去降棋典禮之前
- 因為我就已經是很想回台灣的嘛

- 所以其實對於基本上對於這個消息
- 我是抱著著一點點興奮跟開心的
- 一開始的時候
- 然後我在前往降棋典禮的路上的時候
- 我在外交部的上司
- 就特別提醒我說
- 大家在降棋典禮的時候
- 你給我笑出來的話你給我試試看
- 他就覺得你就是會笑出來
- 他就說我知道你可能很開心
- 但你大家給我試試看你敢笑的話
- 怎麼樣怎麼樣怎麼樣怎麼樣
- 因為其實那個人
- 其實那個上司他是
- 就是他是軍官
- 然後所以他講話就是長這樣
- 然後我就很討厭
- 我就很討厭這種
- 他就吊吊

- 因為很煩
- 但是對也沒辦法
- 然後
- 對我就本來很擔心我在降棋典禮的時候
- 會很開心這樣
- 然後就沒有爆哭
- 因為你現場看到那個棋子
- 緩緩的從那個棋竿上下來

- 他該不會原地直接變成五星棋這樣
- 沒有哇
- 那個是神器吧
- 那個時候是搭配國棋歌
- 唱完國歌之後
- 然後唱國棋歌
- 然後國棋歌平常不是都是升上去嗎
- 對
- 但那天他是降下來
- 一邊降一邊唱這樣
- 對然後覺得哇
- 沒想到這麼...
- 就是這個衝擊力道這麼強
- 對
- 所以就哇
- 後來是學校那邊的更動
- 就變成我們沒有去上班之後
- 就等於確定離開之後
- 原本那間學校其實是
- 因為我說他跟台灣關係很好
- 他升起升台灣國棋跟巴拿馬國棋
- 你是說他們學校招會
- 升起升巴拿馬跟台灣國棋
- 對就兩個
- 而且兩個國家的國歌都要唱
- 那學生不是覺得很奇怪嗎
- 我是覺得他們沒什麼腦
- 就是歌來就唱那邊
- 對歌來就唱
- 歌來就唱
- 然後其實唱台...就是台灣國歌的時候也沒有...
- 也沒有人在唱
- 也沒有人在唱
- 因為沒有人會啊
- 畢竟他是中文
- 反正就是每次早上有個音樂
- 然後大家就會聽著那個音樂這樣

- 然後還有蔣中正的那個雕像超大一尊
- 有可能一層樓高吧
- 一層樓高的雕像
- 對啊超大一個
- 幹真的假的
- 我不知道他那個時候捐多少這樣
- 呵呵靠
- 那怎麼辦
- 那離開之後你的銅像要直接摧毀
- 頭像好像沒有摧毀了
- 可是至少不可能再唱歌歌
- 對 對 然後
- 後來
- 我有參加到最後一次的升旗
- 然後其他台灣籍的老師都
- 都爆哭這樣
- 那之後怎麼辦
- 之後他們就改升五星旗
- 幹
- 這個真的太傻眼了
- 他真的太...
- 超不爽的啊
- 那他學生不是很傻眼嗎
- 誒昨天來唱這個
- 今天換一個旗
- 然後歌也換了
- 可是好像本來就有一些
- 就是董事會那邊他們應該本來就
- 有收到一些訊息
- 所以他們好像本來就
- 有做好準備
- 對 但是以學生的觀點來說
- 他就覺得
- 而且連課本都變了
- 而且還重點是還變簡體字
- 對 變簡體字
- 全部都變了
- 我超傻眼的
- 幹那學生會不會崩潰啊
- 都已經上了五六七年
- 然後就字都變
- 變簡體字

- 搞不好啊
- 幹
- 幹
- 反正就是有一天
- 就是有一天
- 就是那天過了之後
- 就是確定斷交
- 然後確定
- 然後巴拿馬確定跟他有斷交
- 然後確定跟中國建交的那個交界點
- 那天一過十二點
- 然後大放我那一區
- 我住的那一區一直在放鞭炮
- 因為我那一區是很多中國的華僑
- 幹
- 然後我就想說幹
- 更不爽這樣
- 超不爽的
- 想說居然該有放鞭炮

- 超賤
- 所以那個之後你就收收行李
- 然後大家就統一
- 就要離開巴拿馬這樣
- 對
- 就離開巴拿馬
- 幹
- 然後就回台灣這樣
- 這樣的話等於說你原本要在巴拿馬
可能待一年
- 然後變成只待
- 只待二三
- 我二月到的
- 對
- 然後六月斷交
- 然後七月走

- 對差不多就半年而已
- 幹
- 欸現場直擊欸
- 幹
- 超傻眼的
- 我完全沒有想到
- 回到這種事
- 我本來還計畫想說
- 哇聖誕節要去哪裡
- 什麼什麼東西
- 全部都想得很完美
- 結果
- 結果就台灣這樣
- 對
- 結果就回來了
- 超傻眼
- 欸可是你在那邊啊就是
- 因為你替代義嘛
- 那你在那邊可以平常休閒
- 就可以到處亂跑吧
- 還是
- 可以就是
- 只要在境內都可以
- 喔不要出國就可以
- 對不要出國都可以
- 那所以說你有
- 你有在巴拿馬境內到處跑跑嗎
- 有有有
- 如果是認真出去玩的話
- 大概就是兩次而已
- 就是離開巴拿馬市那種
- 旅遊

- 大出遊就是大概兩次
- 然後其他真的是
- 因為我跟家很可憐
- 在那邊生活
- 喔我的天啊
- 因為其實很累
- 最可憐的就是
- 你去超市
- 變成是每天的一個行程
- 就去超市是一個行程
- 為什麼
- 因為沒有別的地方可以去
- 去超市是休閒的
- 去超市是休閒
- 今天晚上要幹嘛去超市
- 去超市還會揪朋友
- 就好像揪同事
- 欸我們今天要去超市
- 要不要起來
- 欸可是為什麼
- 因為巴拿馬市
- 不是一個超大都市嗎
- 怎麼會沒有休閒餘的
- 嗯一個就是因為我們很早上班
- 我們上班其實是六點半
- 喔
- 早上六點半
- 我們就要搭車到學校
- 然後下班很早
- 大概是三點半
- 問題是巴拿馬
- 巴拿馬的天氣
- 你基本上你太陽在的時候
- 你就是走在路上
- 你走五分鐘
- 你就會變成全濕
- 然後有大流汗
- 幹
- 可是每天都很熱
- 每天都超熱
- 所以變成你要出去就是晚上
- 嗯
- 然後你太陽下山也大概五六點之後了
- 所以你五六點
- 所以五六點出去之後你也不能去拿
- 如果你要進程到比較有休閒娛樂的地方的話
- 你就一定要打Uber
- 然後Uber也不是很便宜

- 對
- 然後你到那邊之後消費又很高
- 因為其實巴拿馬的
- 巴拿馬當地的貨幣是跟美金一比一
- 然後你在當地可以用巴拿馬貨幣
- 或者用美金
- 就直接都可以通用
- 它的物價其實我覺得跟美國可能差不多
- 那這樣的話對替代義來說真的很高欸
- 對啊 所以我們才會去超市啊
- 因為去超市採購一些便宜食材這樣
- 對 然後自己煮啊什麼之類的
- 所以就變成超市是一個娛樂活動
- 聽起來我那時候超市覺得自己很可悲
- 就是居然那感覺是你知道老了之後的活動
- 才會這樣子
- 但沒想到我們就是這樣
- 然後最好就是周末
- 因為那個時候上課的時候一定就會問學生
- 那種什麼周末你去哪裡玩
- 或上個周末你去哪裡這樣就是
- 你知道那種課或者是練習啊什麼之類的
- 然後他們都會說他們去mall
- 週末去mall
- 你說shoppingmall那種
- shoppingmall的mall
- 然後我就想說
- 國中生去什麼mall這樣
- 我就想到國中生
- 不是都應該在什麼
- 你知道打網開啊
- 或者去
- 我不知道還能國中生去mall
- 因為國中生不會shopping啊
- 它是要什麼便宜
- 對啊我就想說
- 是就是有差這麼多嗎這樣
- 我後來完全理解耶

- 因為就是一樣啊
- 只要太陽在的時候你就是會熱爆
- 你沒有地方可以去
- 所以躲在mall裡面吹冷氣很爽
- 幹那所以整個周末就躲在裡面吹冷氣
- 對然後其實後來我明天常去mall
- 然後你怎麼走就會遇到你學生
- 看來沒有說謊
- 是真的在mall裡面
- 真的真的完全沒有
- 然後對
- 就是超級市場跟mall
- 然後他們有一個很酷的
- 他們的電影
- 他們的電影很神奇的地方是
- 他們每週三電影票會半價
- 半價大概是台幣不到200塊
- 那還不錯
- 對很不錯
- 然後但是喔
- 他們的爆米花
- 最大的那種可以到13美金
- 13美金
- 有沒有400塊台幣
- 對
- 爆米花買400塊台幣
- 比電影票貴兩倍
- 對然後我就想說
- 爆米花才是本體
- 對
- 我其實我通常不吃爆米花
- 那我一回台灣然後就很想吃爆米花
- 吃到一次賺一次這樣
- 對然後我想說天哪
- 怎麼會爆米花比那個
- 比票還貴
- 因為很誇張
- 對

- 然後如果是大廚遊的話
- 大廚我有去一個地方很棒
- 它叫Samblas
- 上blas
- 是巴拿馬
- 巴拿馬是大概在巴拿馬的正中間
- 然後你正中間直直往北
- 因為巴拿馬是長條形的
- 對
- 所以我然後
- 那個巴拿馬是靠那個太平洋端
- 然後你直接往北走的話
- 會到Samblas那一區
- 它是那個加勒比海端
- 然後它那邊其實是一個當地原住民的保護區
- 喔當地的這些原住民的聚落這樣

- 但他們是怎麼講住在海上的小島
- 喔它不是住在岸邊
- 它是住在海的離島這樣

- 然後那個離島不是像那種澎湖那種很大的
- 是認真很小的
- 所以你可以直接把整座島看完就笑
- 你說一眼人家看完就
- 一眼就看完了這樣

- 然後那時候
- 因為大家都推就是歷屆去的替代
- 都推這個一定要去
- 所以我們後來就去了
- 然後它那個跳島真的是很
- 真的就是跳島
- 就是你真的
- 一上去就結束
- 然後可以下來

- 快速
- 然後我們在那邊吃了
- 它現撈的小龍蝦
- 幹真的很好吃耶
- 現撈龍蝦
- 對
- 龍蝦可以現撈
- 你說海裡現撈
- 海裡現撈
- 你說當地人家就是有這種餐廳
- 直接
- 他們其實就算一個package tour
- 然後就是它帶你跳跳跳
- 然後跳到中午的那座島比較大一點
- 然後就有一個餐廳
- 龍蝦餐廳
- 很酷
- 但那邊真的很漂亮
- 因為它的水很清澈
- 就是加勒比海這樣
- 就是覺得
- 你對加勒比海想像
- 在那邊都會實現
- 就是都是真的這樣
- 對
- 很酷
- 但那次玩得很開心
- 然後但就是很貴啦
- 但我覺得很值得

- 這跳島行程
- 它等於說它開船載你
- 然後還載一天
- 還可以吃龍蝦什麼的
- 對
- 其實真的蠻值得的
- 如果有去巴拿馬玩的話
- 這個很容易找到
- 然後強烈推薦
- 然後強烈推薦
- 好好好
- 因為聽起來
- 聽你這樣講巴拿馬市很無聊
- 對
- 生活很無聊就算了
- 那觀光到底
- 你覺得有沒有看頭
- 巴拿馬其實
- 其實我後來知道
巴拿馬它
- 它是很多歐美國家人士
- 選擇退休的地方
- 為什麼
- 它那邊的老人
- 對於老人或年長的福利非常好
- 我沒記錯的話
- 我那個就是我的屋主
- 我不是說他在那邊好像有居留之類的嗎
- 它有一張神之老年卡
- 那張卡拿出來
- 你在哪裡基本上都可以七折
- 我們有一次去當地的Costco
- 我們可以就是點一個炸雞桶
- 也可以七折
- 就你不管怎麼消費都七折
- 所以它那個老人卡就是
- 也像台灣老人卡
- 大概就有搭什麼捷運
- 黑大車
- 它那老人卡就通殺就對了
- 基本上很多地方都可以
- 我不知道現在有沒有改
- 但我當那個時候是這樣子
- 然後我覺得超爽
- 然後其實巴拿馬很多度假村
- 那種resort
- 然後很高級
- 你就進去在那邊耍費個五天這樣
- 或一個weekend
- 然後你在上面看那種
- 高馬級
- 台灣就是高馬級
- 那種coupon券
- 或者是什麼什麼券這樣
- 然後巴拿馬當地的就是各種resort的
- 優惠券這樣
- 這樣他們有事沒事就去住一下
- 對
- 裡面就集滿了那種老人這樣
- 對
- 或者就是遊客
- 聽起來真的很爽
- 對
- 是一個度假勝地的概念
- 沒錯
- 可是這樣說起來的話
- 它應該沒有什麼就是那種很澎湃的景點之類的地方
- 我真的想不到欸
- 就是一切就是舒適愜意這樣子
- 對沒錯
- 景點真的你可能就要出去啦
- 好棒喔

- 好像還是有火山什麼之類的吧
- 如果沒記錯的話
- 因為中美洲的確還蠻多這種火山景點
- 因為它在那個吧
- 它在板塊只要接觸的話
- 應該是可能會有
- 對
- 對阿
- 所以差不多巴拿馬的
- 差不多是這樣子
- 觀光類的話
- 欸那你在巴拿馬這個期間啊
- 它城市的交通狀況怎麼樣
- 它交通狀況很差
- 會塞車是不是
- 很容易塞車
- 它就沒有地鐵這樣
- 我住的地方沒有
- 它地鐵只有在就是很center的地方
- 就是觀光區
- 對我住的那邊沒有
- 所以如果你要進市區就不行
- 對所以我進市區就一定要搭Uber
- 或搭計程車
- 那會很貴嗎
- 會很貴嗎
- 其實我不知道Uber大概多少錢啦
- 但是搭計程車的話要注意的是
- 如果你去玩的話你要跟它喊價
- 它不是跳表這樣
- 它不是跳表
- 它就是上去跟你說20塊這樣
- 它不會先跟你講
- 幹什麼不講
- 對
- 那你搭完它再跟你講
- 對除非你先問
- 那你先問它一樣會給你開一個很誇張的價錢
- 就是我有被老師警告過
- 但是我當下遇到的時候還是很傻眼
- 有一次我就搭搭比較遠一點點
- 然後它就開了一個15塊吧
- 這樣吧15塊錢這樣子
- 然後我就給它
- 我就也沒有多問一下說
- 應該這個價錢應該OK
- 我就給它15塊這樣
- 然後後來隔天我就去問那個同事
- 然後他就15塊這個距離15塊
- 幹

- 我都搭10塊
- 我想說幹
- 為什麼我要多付那5塊美金這樣
- 然後就說你不知道這邊都是要那個嗎
- 都是要
- 先殺一波
- 先直接喊這樣
- 然後後來我再搭一次一樣的
- 一樣路線的時候
- 我就下車前我就說
- 我就直接掏10塊給它
- 然後他就用西班牙回我說
- 怎麼會只有10塊這樣
- 我就說
- 然後我就想說不然是多少
- 然後他就說11
- 然後我就說好
- 然後我就給它11塊
- 所以就是要先
- 那你下次應該先給它8塊
- 然後再慢慢想去
- 然後應該是10塊這樣
- 對可以可以可以
- 欸幹
- 那下車才講這個太靠杯了
- 那都已經搭完啊
- 跟你說30塊怎麼辦
- 對啊所以很多人就是會被坑
- 然後如果你語言又不通的話
- 更被坑
- 更被坑
- 對更被坑
- 所以至少去要會數字
- 西班牙文的數字很重要
- 對
- 然後還有一個很好笑的事情是
- 在當地
- 因為當地基本上
- 就是你家是沒有門牌號嗎
- 沒有門牌號嗎
- 也就是說
- 你要搭車到你家的話
- 你只能跟他說在什麼路
- 假設你要講說
- 我家住在郵局隔壁這樣
- 對差不多
- 很可怕
- 很可怕那一次
- 有一次我就從超市到回家
- 然後那天真的很熱
- 然後買了一些東西
- 我想說好啦就搭一下計程車
- 因為沒有很遠
- 平常都用走的這樣
- 然後想說好累
- 就搭一下計程車
- 然後就攔了一台
- 然後一上車我想說傻眼
- 就我講不出我家地址
- 然後做點是當地的人
- 我覺得他們的那個風俗明星很酷
- 就他們就算是一個未知的狀態
- 他們還是可以勇往直前
- 就是不知道要去哪裡
- 可是還是往前開這樣
- 對
- 因為我們已經在那條路上了
- 就這條路基本上直直開就到我們家
- 我就說直直開這樣子
- 然後就開了
- 然後就一直開一直開
- 然後你就叫他轉就轉這樣

- 還好是不用轉彎啦
- 然後我們就直直開開開
- 然後開到個大馬路
十字路口就是停燈紅燈
- 然後就看到路上有個人也招手
- 然後我就想說
- 他是瞎了嗎還是怎麼樣
- 就是明明就這台車
- 已經有人坐了這樣
- 然後結果他就過來
- 然後他就探頭跟前座
- 從前座跟那個司機在問說什麼
- 問Bla bla bla用西班牙文這樣子
- 然後後來我就看到他進來坐
- 坐在前座
- 然後我就想說這是一個carport
- 什麼
- 這樣還蠻先進的
- 對
- 然後我想說原來有這個功能這樣
- 然後後來就大致上聽他們講的意思就是說
- 他那個人以前也想要順便搭這個順路的車
- 對對對- 然後他們就有先喊一個價錢
- 然後那個人OK他就上車了
- 這樣的話就是一個共享計程車的概念
- 對是一個共享計程車
- 很厲害
- 然後後來真的就是
- 我就只能跟他說
- 那條巷子然後過了甜點店之後
- 再一下下就到了
- 我就只能這樣講
- 看他沒有地址那他怎麼收信啊
- 你要寄包括一個人家怎麼辦
- 他們郵局會在他們統一會有
- 郵局會有很多那個郵箱
- 就是郵政信箱的概念
- 對然後第一次看到
- 因為那個郵政信箱是在那個超市的樓下
- 地下室這樣子
- 地下室
- 就一個陰暗地下室走下去
- 沒有這麼可怕
- 它地下室有美食街
- 喔喔喔
- 就是你有夢的地下室的感覺
- 一個夢的地下室
- 然後第一次我經過的時候
- 幹他媽
- 因為超像林菇塔
- 一格一格小小的地方
- 一格一格我想說
- 奇怪這是什麼東西
- 然後問一下才知道
- 就是那是郵局的信箱
- 就是大家如果有收發東西的話
- 收東西寄東西就是寄到那邊去
- 然後再去拿這樣子
- 欸幹可是我還是不能想像欸
- 可是我還是不能想像欸
- 假設我現在要搭車
- 然後假設我在北投
- 我重新去這邊再搭車
- 然後可是我不知道要怎麼樣講
- 我只能跟他說我在北投
- 他們是有路名
- 他們有路名
- 但是他們的路都很長
- 所以你可能跟他說我在中山北路
- 然後中山北路超長嗎
- 七段這樣之類的
- 對
- 很可怕很可怕
- 開到到的時候
- 我就跟他說到了這樣
- 對
- 那次搭很遠
- 我說搭15塊美金那個
- 就是我要到一條路
- 然後這條路真的他媽超長
- 然後我真的只能跟他說
- 我後來大家我就跟他說
- 我要去這條路
- 我要到那個路口的交界
- 然後過了加油站這樣
- 然後他就開到那個地方
- 對對對他就開到那個地方
- 然後一直勸
- 就是快到的時候會確認說
- 是不是這邊是不是這邊這樣
- 這樣
- 路上會有無數個加油站
- 這樣
- 每個加油站都說
- 不是這個
- 這是這個嗎
- 很驚人
- 但我覺得他們很厲害
- 因為
- 就感覺這種不確定性
- 是在其他文化裡面
- 是可能不被容忍的
- 比如說你在德國
- 你就會覺得
- 德國人可能
- 幹三小我就是要到那裡
- 對太不明確了這樣子
- 但就是中南美他們的
- 對於不確定性的
- 這個
- 忠然度很高
- 忠然度就會很高
- 我覺得是這樣子
- 可是我真的有這種
- 刻板印象也沒錯
- 就是對於中美洲人
- 或是南美洲人
- 就是覺得
- 反正差不多阿
- 有什麼差
- 就是那個地方嗎對不對
- 之前念一個類似文化類的東西的課的時候
- 真的有一個指標
- 然後其中一下指標就是這個
- 就是對於不確定性的
- 的容忍度
- 然後真的測出來就是
- 中南美跟南歐的人
- 會比較高
- 特別高這樣子

- 他們就覺得沒有關係這樣子

- 然後當然很很
- 然後容忍度低也就真的是
- 德國阿
- 或英國這樣子
- 大家就比較認真一點

- 比較認真
- 要準確明確這樣子
- 好啦
- 時間也差不多
- 直接切入結尾
- 應該
- 沒有啦
- 欸我這次聽完我就覺得
- 幹就跟一開始我講一樣
- 還是不爽欸
- 為什麼我當兵就是要在那個
- 蘇澳爾山上當兵
- 為什麼我不能去巴拉馬
- 我覺得
- 我其實很早就在看了
- 我大二就知道我這個選項了
- 大二就知道
- 對
- 所以你算是
- 就是及早準備這樣
- 很早很早
- 幹
- 真的我跟你講關鍵就是你要多看一些學校的公布欄
- 我說實體的公布欄
- 你說就是貼了一堆很像廢紙的地方
- 沒錯
- 幹真的假的
- 因為我就在那邊看到的
- 幹
- 幹

- 那時候我就不把替代衣當一回事
- 所以我就落到這個下場這樣
- 這樣

- 因為我不知道現在還有沒有外交替代衣可以申請
- 現在替代衣好像剩那種
- 很不
- 很大被封為爛缺的替代衣
- 你說外交上還是
- 沒有外交這種爽缺就已經沒了

- 不過現在也就六個月而已
- 其實好像有點不用太說了
- 因為你六個月出去也不能幹嘛
- 太短了
- 邦交國也越來越少了
- 希望有一天可以
- 你知道就是有更多像這樣
- 有這些外交替代衣經驗的人來分享
- 搞不好新的邦交國會出現這樣
- 喔喔
- 若是這樣的話我們就真的是
- 你就可以做一系列的全部都替代衣
- 要看
- 對

- 最後你只知道
- 這個是我們外交替代衣首發
- 喔
- 可以
- 一個殊榮就交給你

- 沒問題
- 好那謝謝大家今天的收聽
- 好的謝謝大家
- 好大家掰掰
- 掰掰
